App,Total_Review,Avg_Polarity,Avg_Subjectivity,Avg_Sentiment_Score,Negative_Review,Neutral_Review,Positive_Review
Aprender inglés con Wlingua,56,0.3996215213358071,0.5617165532879819,0.7191,1,2,53
Archos File Manager,31,0.1152958152958153,0.4863489736070381,0.10255806451612903,8,9,14
Arrow.io,95,0.08073817355889723,0.45664369256474513,0.2743347368421053,28,14,53
Asana: organize team projects,43,0.2306454630830486,0.5227672402646754,0.49117906976744186,5,5,33
Ascape VR: 360° Virtual Travel,18,0.1509645061728395,0.5006944444444444,0.20768333333333333,4,4,10
Asphalt 8: Airborne,73,0.004450410725820944,0.5135438903805984,0.3356287671232877,31,3,39
Associated Credit Union Mobile,35,0.3880928287981859,0.5595348639455783,0.4872171428571429,1,4,30
Asteroids 3D live wallpaper,31,0.253524397462264,0.48231736087307936,0.3777709677419355,4,6,21
Atlan3D Navigation: Korea navigator,36,0.2781841981321148,0.39801614858906526,0.39040833333333336,2,11,23
AutoCAD - DWG Viewer & Editor,36,0.11960119548661215,0.48721443101651435,0.23106111111111113,12,8,16
AutoScout24 Switzerland – Find your new car,37,0.4169514157014157,0.5583655083655084,0.42461621621621626,3,4,30
Avakin Life - 3D virtual world,69,0.08085916643028912,0.5053262068732377,0.5704130434782608,16,1,52
Aviary Effects: Classic,37,0.10624119358661768,0.538079149507721,0.2547702702702702,9,2,26
Aviary Stickers: Free Pack,37,0.0658285525785526,0.6725140465140466,0.3022756756756757,12,2,23
Azar,92,0.06840380917580306,0.48170581984440686,0.0031663043478260895,25,29,38
Azpen eReader,23,0.24262422360248445,0.5973257418909593,0.2509217391304348,4,4,15
B612 - Beauty & Filter Camera,16,0.08178212791982326,0.5275852272727273,0.4272625,5,2,9
BBC Media Player,24,-0.028519833754208763,0.43761078042328044,0.062362499999999994,11,1,12
BBC News,63,0.0969990437252342,0.38892420043213694,0.05049206349206349,18,8,37
BBC Sport,49,0.16657655269900168,0.4234672895132079,0.339030612244898,8,8,33
BBM - Free Calls & Messages,35,0.1544232523738662,0.46189045214045216,0.29373714285714286,8,9,18
BBVA Compass Banking,29,0.2055902244649166,0.4824433106575964,0.14138620689655174,7,5,17
